Model,Set.,1,2,3,4,5,6,7,8,9
DeepSeek-VL-7B,Lora,26.86,39.78,25.83,32.51,38.1,22.33,20.61,29.03,27.27
MiniCPM-V4.5-8B,Lora,40.57,55.25,41.67,43.82,30.36,36.89,71.76,38.71,9.09
Phi-4-5.6B,Lora,48.29,68.51,49.58,67.14,44.64,42.72,87.79,45.16,45.45
Janus-Pro-7B,Lora,32.86,37.57,26.67,29.33,30.95,20.39,23.66,32.26,27.27
Qwen3.5-9B,Lora,46.86,70.17,55.0,56.89,44.64,63.11,90.08,54.84,18.18
InternVL3.5-8B,Lora,38.86,44.75,38.75,45.94,42.86,33.98,77.86,38.71,27.27
mPLUG-Owl3-7B,Lora,41.14,53.04,30.0,54.42,32.74,31.07,41.98,22.58,18.18
LLaVA-OV-2-8B,Lora,41.71,57.46,37.92,55.48,42.86,41.75,74.05,45.16,9.09
Llama-3.2-11B-Vision,Lora,37.14,40.33,25.0,39.93,39.29,21.36,25.19,41.94,9.09
,,,,,,,,,,
GPT-5.5,0shot,38.3,66.67,57.14,55.26,22.73,53.85,83.33,16.67,50.0
GPT-5.5,1shot,34.04,70.83,60.71,57.89,36.36,53.85,88.89,50.0,25.0
GPT-5.5,2shot,44.68,62.5,67.86,52.63,40.91,61.54,88.89,33.33,50.0
GPT-5.5,3shot,46.81,66.67,71.43,47.37,59.09,46.15,83.33,50.0,50.0
Gemini3.5-flash,0shot,44.68,79.17,67.86,47.37,9.09,76.92,83.33,50.0,50.0
Gemini3.5-flash,1shot,38.3,75.0,64.29,63.16,36.36,61.54,88.89,50.0,25.0
Gemini3.5-flash,2shot,44.68,83.33,67.86,57.89,13.64,84.62,83.33,50.0,25.0
Gemini3.5-flash,3shot,48.94,79.17,60.71,52.63,36.36,84.62,88.89,66.67,50.0
