Model,Set.,Vanilla,Circular,Acc Change,Set.,Vanilla,Circular,Acc Change
DeepSeek-VL-7B,Base,26.77,2.94,-23.83,Lora,29.77,2.6,-27.169999999999998
MiniCPM-V4.5-8B,Base,41.05,6.07,-34.98,Lora,44.19,7.28,-36.91
Phi-4-5.6B,Base,36.25,4.67,-31.58,Lora,57.08,20.96,-36.12
Janus-Pro-7B,Base,25.5,1.8,-23.7,Lora,29.84,2.67,-27.17
Qwen3.5-9B,Base,43.93,11.35,-32.58,Lora,57.48,16.82,-40.66
InternVL3.5-8B,Base,41.12,9.28,-31.839999999999996,Lora,44.33,10.61,-33.72
mPLUG-Owl3-7B,Base,36.85,3.2,-33.65,Lora,41.19,3.94,-37.25
LLaVA-OV-2-8B,Base,38.38,13.62,-24.760000000000005,Lora,48.4,9.95,-38.45
Llama-3.2-11B-Vision,Base,28.91,0.33,-28.580000000000002,Lora,34.11,0.87,-33.24
,,,,,,,,
GPT-5.5,0shot,50.5,20.0,-30.5,3shot,57.5,31.5,-26.0
Gemini3.5-flash,0shot,54.5,31.5,-23.0,3shot,60.0,33.5,-26.5
