Model,Set.,P,R,F1,Acc,Set.,P,R,F1,Acc
DeepSeek-VL-7B,Base,27.8,28.08,27.51,28.24,Lora,34.25,34.59,34.16,35.11
MiniCPM-V4.5-8B,Base,42.99,42.3,42.18,42.59,Lora,54.96,55.04,54.98,55.47
Phi-4-5.6B,Base,39.76,38.7,38.69,39.05,Lora,66.88,66.6,66.54,66.89
Janus-Pro-7B,Base,29.25,26.21,26.68,26.1,Lora,33.08,31.77,30.12,31.98
Qwen3.5-9B,Base,46.9,46.08,45.97,45.93,Lora,71.46,71.35,71.3,71.7
InternVL3.5-8B,Base,44.47,43.1,42.95,42.79,Lora,55.02,53.7,53.8,53.67
mPLUG-Owl3-7B,Base,38.52,38.11,37.1,39.25,Lora,57.18,56.81,56.88,57.01
LLaVA-OV-2-8B,Base,53.12,40.65,37.17,39.99,Lora,65.47,60.64,59.12,61.48
Llama-3.2-11B-Vision,Base,30.43,29.54,26.41,30.37,Lora,46.96,42.84,42.53,43.32
,,,,,,,,,,
GPT-5.5,0shot,62.19,60.94,60.86,61.0,,,,,
,,,,,,,,,,
random,-,23.82,23.78,23.75,23.77,,,,,
,,,,,,,,,,
