Model,Set.,A,B,C,D,Var,Set.,A,B,C,D,Var
DeepSeek-VL-7B,Base,16.42,33.18,29.44,20.96,14.9,Lora,17.89,27.9,34.85,19.36,15.81
MiniCPM-V4.5-8B,Base,22.96,25.23,32.91,18.89,13.96,Lora,22.3,23.5,29.11,25.1,2.86
Phi-4-5.6B,Base,29.19,18.77,20.51,31.53,13.63,Lora,21.76,25.5,26.17,26.57,1.55
Janus-Pro-7B,Base,41.02,19.33,22.48,17.18,28.27,Lora,42.68,10.52,22.39,24.41,51.72
Qwen3.5-9B,Base,28.77,27.9,20.09,23.23,8.99,Lora,21.83,23.5,25.23,29.44,2.89
InternVL3.5-8B,Base,29.08,31.22,20.39,19.32,16.33,Lora,29.17,27.57,23.1,20.16,9.91
mPLUG-Owl3-7B,Base,15.75,17.16,44.19,22.9,58.52,Lora,21.43,22.43,32.24,23.9,8.43
LLaVA-OV-2-8B,Base,6.79,70.41,14.12,8.68,339.46,Lora,4.14,36.85,30.04,28.97,92.06
Llama-3.2-11B-Vision,Base,3.01,28.79,18.5,49.7,104.63,Lora,13.68,21.83,14.42,50.07,89.3
,,,,,,,,,,,,
GPT-5.5,0shot,23.5,32.0,23.0,21.5,12.73,3shot,30.5,30.0,21.5,18.0,29.86
Gemini3.5-flash,0shot,23.74,30.81,19.19,26.26,11.71,3shot,20.0,30.5,20.5,29.0,19.53
